a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.43-1
acl 2.2.52-3
acpid 2.0.28-1
adwaita-icon-theme 3.22.0-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.3-1
antergos-gnome-defaults-list 1.0-1
antergos-keyring 20150806-1
antergos-mirrorlist 20161107-2
antergos-repo-priority 1.0.4-2
antergos-wallpapers 0.7-1
antergos-welcome 0.0.2-2
apache 2.4.25-1
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20161201-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attica-qt5 5.29.0-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
b43-fwcutter 019-1
babl 0.1.18-1
baobab 3.22.1-1
bash 4.4.005-2
bash-completion 2.4-1
bc 1.06.95-3
bind-tools 9.11.0.P1-2
binutils 2.27-1
bison 3.0.4-2
bluez 5.43-2
bluez-libs 5.43-2
boost-libs 1.62.0-4
brasero 3.12.1-2
brltty 5.4-3
btrfs-progs 4.9-1
bzip2 1.0.6-5
bzr 2.7.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.2-1
ca-certificates-utils 20160507-1
cabextract 1.6-1
cairo 1.14.8-1
cairomm 1.12.0-2
cantarell-fonts 1:0.0.25-2
caribou 0.4.21+0+g36e3d0f-1
cdparanoia 10.2-5
cdrdao 1.2.3-9
cdrkit 1.1.11-3
celt 0.11.3-2
cheese 3.22.1-1
chromaprint 1.4.1-1
chromium 55.0.2883.87-1
cifs-utils 6.5-1
clucene 2.3.3.4-9
clutter 1.26.0+24+g79da526-1
clutter-gst 3.0.22-1
clutter-gtk 1.8.2-1
cmake 3.7.1-1
cogl 1.22.2-1
colord 1.3.4-1
colord-gtk 0.1.26+5+ga9d9c91-1
compositeproto 0.4.2-3
convertlit 1.8-7
coreutils 8.26-1
cracklib 2.9.6-1
crda 3.18-1
cryptsetup 1.7.3-1
cups 2.2.1-1
cups-filters 1.13.2-1
cups-pk-helper 0.2.6-1
curl 7.52.1-2
cython 0.25.2-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhcpcd 6.11.3-1
diffutils 3.5-1
ding-libs 0.6.0-1
djvulibre 3.5.27-3
dleyna-connector-dbus 0.2.0-2
dleyna-core 0.5.0-1
dleyna-renderer 0.5.0-1
dleyna-server 0.5.0-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
dosfstools 4.0-3
dotconf 1.3-4
dvd+rw-tools 7.1-7
e2fsprogs 1.43.3-1
ebook-tools 0.2.2-3
enca 1.19-1
enchant 1.6.0-10
eog 3.20.5-1
espeak 1.48.04-2
evince 3.22.1-1
evolution-data-server 3.22.3-1
exempi 2.3.0-1
exfat-utils 1.2.5-1
exiv2 0.25-3
expat 2.2.0-2
f2fs-tools 1.7.0-1
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
farstream 0.2.8-1
ffmpeg 1:3.2.2-2
ffmpeg2.8 2.8.9-2
ffmpegthumbnailer 2.1.1-1
fftw 3.3.5-1
file 5.29-1
file-roller 3.22.2-1
filesystem 2016.12-2
findutils 4.6.0-2
firefox 50.1.0-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 24.0.0.186-1
flex 2.6.1-1
folks 0.11.3-3
fontconfig 2.12.1-3
fontsproto 2.1.3-1
foomatic-db-engine 4:4.0.12-2
freeglut 3.0.0-1
freetype2 2.7-2
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
gamin 0.1.10-8
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.2.1-1
gcc-libs 6.2.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gdbm 1.12-2
gdk-pixbuf2 2.36.1+31+gecea71eb6-1
gedit 3.22.0+4+g2c70ccb-1
gegl 0.3.8-3
geoclue2 2.4.4-2
geocode-glib 3.20.1+1+ga646012-1
geoip 1.6.9-1
geoip-database 20161206-1
gettext 0.19.8.1-2
gfbgraph 0.2.3-1
ghostscript 9.20-4
giflib 5.1.4-1
git 2.11.0-2
gjs 1.46.0-2
gksu 2.0.2-5
glew 2.0.0-1
glew1.10 1.10.0-1
glib-networking 2.50.0-1
glib2 2.50.2-1
glibc 2.24-2
glibmm 2.50.0-1
glu 9.0.0-4
gmime 2.6.22-1
gmp 6.1.1-1
gnome-autoar 0.1.1+1+g8d75c44-1
gnome-backgrounds 3.22.1-1
gnome-bluetooth 3.20.0+6+g3bac4f9-1
gnome-calculator 3.22.2-1
gnome-calendar 3.22.2-1
gnome-color-manager 3.22.2-1
gnome-contacts 3.22.1+4+gb235b6d-1
gnome-control-center 3.22.1-1
gnome-desktop 1:3.22.2-1
gnome-disk-utility 3.22.1-1
